epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,485.283,1.9681,2.38537,1.30345,0.59103,0.33278,0.34545,0.13899,2.10187,1.97029,1.50358,0.000553186,0.000553186,0.000553186
2,966.518,2.08061,1.76655,1.38625,0.53014,0.37893,0.37519,0.1488,2.0979,1.67134,1.49586,0.00110777,0.00110777,0.00110777
3,1455.92,2.11257,1.7664,1.39129,0.57394,0.36069,0.37333,0.1548,2.03258,1.77684,1.39559,0.00165802,0.00165802,0.00165802
4,1942.42,2.05018,1.69874,1.36117,0.57832,0.40282,0.43568,0.17932,2.01263,1.54448,1.41864,0.00165238,0.00165238,0.00165238
5,2423.11,2.02312,1.62925,1.35947,0.66301,0.4358,0.46581,0.19834,1.94193,1.55922,1.35815,0.00164108,0.00164108,0.00164108
6,2906.41,1.99189,1.55723,1.32974,0.63244,0.43893,0.46771,0.18952,2.01249,1.5187,1.36594,0.00162661,0.00162661,0.00162661
7,3390.01,1.9358,1.54851,1.31288,0.60385,0.40441,0.43436,0.18724,1.88888,1.81271,1.3576,0.00160905,0.00160905,0.00160905
8,3871.69,1.91091,1.44251,1.29818,0.59351,0.49215,0.49483,0.20716,1.88666,1.51459,1.3574,0.00158847,0.00158847,0.00158847
9,4349.68,1.90939,1.45129,1.28929,0.57691,0.49169,0.49683,0.20751,1.88559,1.40111,1.34963,0.00156493,0.00156493,0.00156493
