epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,480.383,1.7746,1.29114,1.23497,0.6937,0.51839,0.54653,0.24029,1.80331,1.24019,1.27776,0.000553186,0.000553186,0.000553186
2,937.002,1.80238,1.2804,1.23164,0.60197,0.48362,0.50003,0.21833,1.86335,1.399,1.31689,0.00110777,0.00110777,0.00110777
3,1411.69,1.82809,1.33855,1.22486,0.6395,0.48993,0.5267,0.22652,1.8665,1.3333,1.30229,0.00165802,0.00165802,0.00165802
4,1893.38,1.82599,1.35643,1.25356,0.58795,0.48071,0.49871,0.22108,1.84421,1.28607,1.32629,0.00165238,0.00165238,0.00165238
5,2349.66,1.81664,1.32825,1.25669,0.63111,0.51193,0.52488,0.23549,1.87562,1.27902,1.32622,0.00164108,0.00164108,0.00164108
6,2803.34,1.82266,1.3487,1.24582,0.66732,0.50659,0.53981,0.23484,1.87826,1.23128,1.3122,0.00162661,0.00162661,0.00162661
7,3271.93,1.77546,1.2742,1.23344,0.66855,0.52817,0.56068,0.25233,1.78272,1.26975,1.27649,0.00160905,0.00160905,0.00160905
8,3729.75,1.76724,1.23372,1.20268,0.68304,0.52523,0.56469,0.25405,1.78304,1.19646,1.27355,0.00158847,0.00158847,0.00158847
9,4183.05,1.76508,1.21161,1.19921,0.70013,0.51969,0.55729,0.24844,1.82642,1.22371,1.28403,0.00156493,0.00156493,0.00156493
10,4645.81,1.80478,1.28442,1.21437,0.69142,0.52053,0.57083,0.26026,1.8,1.19739,1.26367,0.00153854,0.00153854,0.00153854
11,5104.36,1.76241,1.21947,1.21123,0.67659,0.53007,0.56283,0.25429,1.79551,1.18477,1.26436,0.00150941,0.00150941,0.00150941
12,5556.24,1.76334,1.19448,1.20443,0.67427,0.56925,0.60252,0.28042,1.72257,1.12568,1.23228,0.00147764,0.00147764,0.00147764
13,6017.65,1.75657,1.21881,1.20869,0.67064,0.54264,0.57554,0.26765,1.76644,1.15052,1.26703,0.00144335,0.00144335,0.00144335
14,6487.77,1.74778,1.16993,1.18105,0.71557,0.56802,0.60923,0.27479,1.76072,1.09539,1.247,0.0014067,0.0014067,0.0014067
15,6940.92,1.74302,1.17314,1.19079,0.67049,0.57546,0.60657,0.27181,1.74039,1.09373,1.2508,0.00136781,0.00136781,0.00136781
16,7419.54,1.69755,1.12608,1.1724,0.70659,0.56171,0.59792,0.27962,1.74048,1.10356,1.26064,0.00132685,0.00132685,0.00132685
17,7887.19,1.69943,1.10094,1.1693,0.68485,0.54267,0.59695,0.27791,1.74179,1.11951,1.23143,0.00128398,0.00128398,0.00128398
18,8356.09,1.69212,1.10512,1.15543,0.71947,0.56746,0.61718,0.2952,1.68778,1.06057,1.21826,0.00123936,0.00123936,0.00123936
19,8830.14,1.6766,1.10032,1.1556,0.68952,0.58345,0.61623,0.28929,1.70445,1.05095,1.22601,0.00119317,0.00119317,0.00119317
